"","person","gender","age","state","studstatus","noexpert","numcomm"
"1",1,1,24,1,1,1,7
"2",2,2,28,7,1,0,5
"3",3,2,27,3,2,1,4
"4",4,2,27,11,2,1,10
"5",5,1,46,10,2,1,10
"6",6,2,25,1,6,1,3
"7",7,2,23,7,2,1,0
"8",8,2,32,17,2,1,10
"9",9,2,20,9,1,0,3
"10",10,2,33,2,2,1,10
"11",11,1,47,8,2,1,6
"12",12,2,52,10,2,1,10
"13",13,2,23,6,1,1,6
"14",14,1,25,3,1,1,6
"15",15,2,45,3,2,1,10
"16",16,2,22,13,1,1,5
"17",17,2,27,9,1,1,9
"18",18,2,48,11,2,1,5
"19",19,2,25,2,1,0,6
"20",20,2,26,17,1,1,2
"21",21,2,41,6,2,1,10
"22",22,1,30,17,2,1,4
"23",23,2,29,9,1,1,6
"24",24,2,50,10,2,1,5
"25",25,2,21,17,1,1,6
"26",26,2,29,1,2,1,6
"27",27,2,23,2,1,1,10
"28",28,2,36,11,2,1,10
"29",29,2,24,11,1,0,8
"30",30,2,51,1,2,0,10
"31",31,2,26,3,1,0,8
"32",32,1,52,17,1,1,4
"33",33,2,25,10,1,1,9
"34",34,2,44,7,2,1,9
"35",35,2,21,10,1,1,4
"36",36,2,27,10,2,1,6
"37",37,2,22,5,1,1,10
"38",38,1,30,10,6,1,7
"39",39,2,28,2,1,1,7
"40",40,2,30,3,1,0,4
"41",41,2,21,10,1,1,8
"42",42,2,27,16,2,0,8
"43",43,2,32,3,1,0,5
"44",44,2,33,10,2,1,10
"45",45,1,45,10,2,1,3
"46",46,2,22,13,1,1,10
"47",47,1,55,1,1,0,3
"48",48,2,22,17,2,0,4
"49",49,2,44,1,2,1,5
"50",50,2,29,2,2,1,8
"51",51,2,23,5,1,1,8
"52",52,2,30,13,1,1,10
"53",53,2,32,3,1,1,5
"54",54,2,31,17,1,0,10
"55",55,2,25,17,2,1,6
"56",56,2,25,1,1,1,4
"57",57,1,25,10,2,1,8
"58",58,1,21,1,1,0,4
"59",59,1,34,10,2,0,10
"60",60,1,28,10,2,1,6
"61",61,2,27,10,2,1,5
"62",62,2,23,10,1,0,5
"63",63,2,45,3,2,1,10
"64",64,2,20,10,1,1,3
"65",65,2,42,16,2,1,4
"66",66,1,47,10,1,1,3
"67",67,2,26,10,1,1,3
"68",68,2,42,7,2,1,7
"69",69,2,52,11,2,0,6
"70",70,2,42,10,2,1,10
"71",71,2,29,4,2,1,4
"72",72,2,23,16,1,0,5
"73",73,2,45,17,2,1,7
"74",74,1,43,2,2,1,2
"75",75,2,31,1,2,1,5
"76",76,1,25,10,1,1,2
"77",77,2,26,10,1,0,5
"78",78,2,33,2,1,1,7
"79",79,2,22,9,2,1,9
"80",80,1,25,10,1,1,2
"81",81,2,23,10,1,1,1
"82",82,2,57,10,2,1,10
"83",83,2,32,3,2,0,4
"84",84,2,30,14,2,0,4
"85",85,1,35,1,1,0,6
"86",86,2,31,10,2,1,5
"87",87,2,24,10,1,0,9
"88",88,2,48,3,1,0,7
"89",89,2,23,1,1,1,4
"90",90,2,23,10,1,1,4
"91",91,2,24,1,1,1,3
"92",92,1,30,10,1,1,3
"93",93,2,25,10,1,1,10
"94",94,1,36,2,2,1,8
"95",95,2,27,9,2,1,6
"96",96,1,32,11,2,1,2
"97",97,2,43,17,2,1,8
"98",98,1,45,9,2,1,0
"99",99,2,36,9,2,1,3
"100",100,2,29,10,1,1,5
"101",101,2,30,10,1,0,5
"102",102,2,23,10,1,1,0
"103",103,1,27,10,1,1,9
"104",104,1,25,10,1,1,6
"105",105,2,38,9,1,0,3
"106",106,2,28,11,1,1,10
"107",107,2,55,2,1,1,10
"108",108,2,44,1,2,1,10
"109",109,NA,27,6,1,1,10
"110",110,2,32,10,2,0,6
"111",111,2,31,13,1,0,4
"112",112,2,28,9,2,1,5
"113",113,2,24,1,1,0,10
"114",114,2,28,13,2,1,7
"115",115,2,27,10,1,1,5
"116",116,1,27,6,1,1,3
"117",117,1,31,10,2,0,6
"118",118,2,28,2,6,1,4
"119",119,2,40,10,2,1,2
"120",120,2,40,13,2,0,5
"121",121,1,37,11,2,1,6
"122",122,2,34,6,2,0,3
"123",123,2,22,2,2,0,0
"124",124,2,21,5,2,0,0
"125",125,2,25,10,1,0,1
"126",126,2,51,10,2,0,6
"127",127,2,27,6,2,1,5
"128",128,1,39,9,2,0,5
"129",129,2,26,10,1,1,10
"130",130,2,28,10,1,0,5
"131",131,1,46,9,2,1,7
"132",132,1,49,3,2,1,10
"133",133,2,21,10,NA,1,6
"134",134,2,39,6,2,0,6
"135",135,2,26,2,1,0,10
"136",136,2,23,3,1,0,5
"137",137,1,26,2,1,1,0
"138",138,2,36,2,NA,1,7
"139",139,1,24,2,1,1,4
"140",140,1,29,10,2,0,10
"141",141,2,30,17,1,1,3
"142",142,2,22,10,1,0,2
"143",143,1,35,14,2,1,5
"144",144,2,41,6,2,1,10
"145",145,2,37,17,2,1,3
"146",146,2,26,10,1,0,10
"147",147,2,41,7,1,1,8
"148",148,2,30,10,1,1,8
"149",149,2,20,1,1,1,3
"150",150,2,26,2,2,1,10
"151",151,2,26,2,1,1,10
"152",152,2,26,3,2,1,10
"153",153,2,34,2,2,1,2
"154",154,2,28,9,1,1,5
"155",155,2,30,10,1,0,3
"156",156,2,25,3,2,0,3
"157",157,1,22,NA,1,0,0
"158",158,2,24,2,1,0,10
